  PID TTY      STAT   TIME COMMAND
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1423 tty1     Sl+    0:00 /usr/bin/gnome-shell
 1450 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1450 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1450 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1455 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
 1466 ?        S<l    0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1466 ?        Sl     0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1466 ?        Sl     0:00 /usr/bin/pulseaudio --start --log-target=syslog
 1485 tty1     Sl     0:03 ibus-daemon --xim --panel disable
 1485 tty1     Sl     0:00 ibus-daemon --xim --panel disable
 1485 tty1     Sl     0:05 ibus-daemon --xim --panel disable
 1489 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1489 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1489 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1489 tty1     Sl     0:00 /usr/lib/ibus/ibus-dconf
 1491 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1491 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1491 tty1     Sl     0:00 /usr/lib/ibus/ibus-x11 --kill-daemon
 1496 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1496 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1496 ?        Sl     0:00 /usr/lib/ibus/ibus-portal
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1504 ?        Sl     0:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
 1510 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1510 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1510 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1510 ?        Ssl    0:00 /usr/lib/evolution/evolution-source-registry
 1520 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1520 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1520 ?        Sl     0:00 /usr/lib/dconf/dconf-service
 1524 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1524 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1524 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
 1527 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1527 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1527 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1527 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-daemon
 1533 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1533 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1533 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
 1539 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1539 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1539 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
 1566 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1566 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1566 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1566 ?        Sl     0:00 /usr/lib/gnome-online-accounts/goa-identity-service
 1568 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1568 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1568 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
 1575 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1575 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1575 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1575 ?        Ssl    0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
 1581 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1581 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1581 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1581 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-power
 1583 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1583 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1583 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
 1584 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1584 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1584 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1585 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1585 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1585 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1593 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1593 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1593 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1593 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sharing
 1597 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1597 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1597 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1597 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1611 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1611 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1611 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1611 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1617 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1617 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1617 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-wacom
 1618 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1618 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1618 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1618 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1618 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1627 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1627 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1627 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1627 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1628 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1628 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1628 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1629 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1629 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1629 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1629 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-color
 1632 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1632 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1632 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1632 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1636 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1636 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1636 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1636 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1636 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1640 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1640 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1640 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1640 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1641 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1641 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1641 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1641 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1644 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1644 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1644 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1644 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1647 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1647 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1647 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1647 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1695 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1695 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1695 tty1     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1723 tty1     Sl+    0:01 nautilus-desktop
 1723 tty1     Sl+    0:00 nautilus-desktop
 1723 tty1     Sl+    0:00 nautilus-desktop
 1723 tty1     Sl+    0:00 nautilus-desktop
 1729 tty1     SLl+   0:01 /usr/bin/gnome-software --gapplication-service
 1729 tty1     SLl+   0:00 /usr/bin/gnome-software --gapplication-service
 1729 tty1     SLl+   0:00 /usr/bin/gnome-software --gapplication-service
 1729 tty1     SLl+   0:00 /usr/bin/gnome-software --gapplication-service
 1730 tty1     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1730 tty1     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1730 tty1     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1744 tty1     Sl     0:01 /usr/lib/ibus/ibus-engine-libpinyin --ibus
 1744 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-libpinyin --ibus
 1744 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-libpinyin --ibus
 1768 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 1768 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 1768 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.22 /org/gtk/gvfs/exec_spaw/0
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1793 ?        Sl     0:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx1636x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/1636/2
 1813 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1813 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1813 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1813 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1813 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1837 ?        Sl     0:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx1813x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/1813/2
 1952 tty1     Sl+    0:00 update-notifier
 1952 tty1     Sl+    0:00 update-notifier
 1952 tty1     Sl+    0:00 update-notifier
 1952 tty1     Sl+    0:00 update-notifier
 1980 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1980 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1980 ?        Ssl    0:00 /usr/lib/gvfs/gvfsd-metadata
 1983 tty1     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 1983 tty1     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 1983 tty1     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
 1983 tty1     Sl+    0:00 /usr/lib/deja-dup/deja-dup-monitor
11186 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
11186 tty1     Sl     0:00 /usr/lib/ibus/ibus-engine-simple
11186 tty1     Sl     0:01 /usr/lib/ibus/ibus-engine-simple
11724 ?        Ssl    0:10 /usr/lib/gnome-terminal/gnome-terminal-server
11724 ?        Ssl    0:00 /usr/lib/gnome-terminal/gnome-terminal-server
11724 ?        Ssl    0:01 /usr/lib/gnome-terminal/gnome-terminal-server
11724 ?        Ssl    0:00 /usr/lib/gnome-terminal/gnome-terminal-server
11734 pts/0    Ss     0:00 bash
11762 pts/1    Ss+    0:00 bash
11776 pts/2    Ss     0:00 bash
11790 tty1     SLl+   1:22 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:33 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:10 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11790 tty1     SLl+   0:00 /opt/google/chrome/chrome
11797 tty1     S+     0:00 cat
11798 tty1     S+     0:00 cat
11801 tty1     S+     0:00 /opt/google/chrome/chrome --type=zygote
11802 tty1     S+     0:00 /opt/google/chrome/nacl_helper
11805 tty1     S+     0:00 /opt/google/chrome/chrome --type=zygote
11827 tty1     Sl+    1:24 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11827 tty1     Sl+    0:00 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11827 tty1     Sl+    0:00 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11827 tty1     Sl+    0:00 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11827 tty1     Sl+    0:16 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11827 tty1     Sl+    0:39 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=2393998406115597097,8236800267276564349,131072 --gpu-preferences=KAAAAAAAAAAgAAAgAAAAAAAAYAAAAAAAEAAAAAAAAAAAAAAAAAAAAAgAAAAAAAAA --service-request-channel-token=1267845096871723110
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:06 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11831 tty1     SLl+   0:00 /opt/google/chrome/chrome --type=utility --field-trial-handle=2393998406115597097,8236800267276564349,131072 --lang=en-US --service-sandbox-type=network --service-request-channel-token=16160090458606349557 --shared-files=v8_context_snapshot_data:100,v8_natives_data:101
11888 tty1     S+     0:00 /opt/google/chrome/chrome --type=broker
